"","0.80800000000000005","X2","73","X4","X5","X6","X7","74","X9","X10","X11","X12","X13","X14","X15","X16","75","X18","X19","X20","X21","76","X23","X24","X25","X26","77","X28","X29","X30","X31","78","X33","X34","X35","X36"
"1","Digital Access Attribute Totals
(sorted by winner below)",NA,"Cellular competitiveness level","raw data","difference","raw score","weighted score","Average cost of baseline package with data","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Free WIFI scale","raw data","difference","raw score","weighted score","Mobile phone infrastructure","raw data","difference","raw score","weighted score","Municipal government open urban data scale","raw data","difference","raw score","weighted score","Gamers + Developers scale","raw data","difference","raw score","weighted score"
"2","Accra","38.228765131481701","Accra","5","39","7.1428571428571388","5.7714285714285687","Accra","n/a","0.48759999999999998","na","0.37","10.695322280682021","10.61086921945753","56.734111655274283","45.841162217461623","Accra","5","8","20","16.16","Accra","3","0","100","80.800000000000011","Accra","3","3","75","60.6","Accra","2","3","25","20.200000000000003"
"3","Amsterdam","67.430890549182905","Amsterdam","34","10","76.19047619047619","61.561904761904763","Amsterdam","9.9600000000000009","1.3277000000000001","13.223892000000003","9.2799999999999994","1.4249883620689658","1.340535300844476","94.533958580683972","76.38343853319266","Amsterdam","6","7","30","24.240000000000002","Amsterdam","3","0","100","80.800000000000011","Amsterdam","6","0","100","80.800000000000011","Amsterdam","5","0","100","80.800000000000011"
"4","Bangkok","34.965231109283039","Bangkok","4","40","4.7619047619047592","3.8476190476190455","Bangkok","249","3.2599999999999997E-2","8.1173999999999999","1.22","6.6536065573770493","6.5691534961525599","73.21423383838183","59.157100941412523","Bangkok","7","6","40","32.32","Bangkok","3","0","100","80.800000000000011","Bangkok","-1","7","41.666666666666664","33.666666666666664","Bangkok","1","4","0","0"
"5","Beirut","19.66153191072873","Beirut","2","42","0","0","Beirut","21750","6.9999999999999999E-4","15.225","1.4","10.875","10.79054693877551","56.001474584619288","45.249191464372387","Beirut","7","6","40","32.32","Beirut","1","2","0","0","Beirut","-6","12","0","0","Beirut","3","2","50","40.400000000000006"
"6","Berlin","68.311307077861258","Berlin","42","2","95.238095238095241","76.952380952380963","Berlin","10.4","1.3277000000000001","13.808080000000002","11.29","1.2230363153232953","1.1385832540988055","95.357419366485061","77.04879484811994","Berlin","8","5","50","40.400000000000006","Berlin","3","0","100","80.800000000000011","Berlin","2","4","66.666666666666657","53.86666666666666","Berlin","5","0","100","80.800000000000011"
"7","Bogota","56.12320285734566","Bogota","9","35","16.666666666666671","13.466666666666672","Bogota","19900","5.0000000000000001E-4","9.9500000000000011","1.72","5.7848837209302335","5.7004306597057441","76.756456861477673","62.019217144073963","Bogota","7","6","40","32.32","Bogota","3","0","100","80.800000000000011","Bogota","4","2","83.333333333333329","67.333333333333329","Bogota","5","0","100","80.800000000000011"
"8","Boston","61.615220320094984","Boston","6","38","9.5238095238095184","7.695238095238091","Boston","34","1","34","8","4.25","4.1655469387755106","83.014955229371012","67.076083825331779","Boston","12","1","90","72.72","Boston","3","0","100","80.800000000000011","Boston","6","0","100","80.800000000000011","Boston","4","1","75","60.6"
"9","Buenos Aires","59.060843358146705","Buenos Aires","4","40","4.7619047619047592","3.8476190476190455","Buenos Aires","168.25","0.1832","30.823399999999999","3.44","8.9602906976744183","8.8758376364499281","63.808714234234102","51.557441101261155","Buenos Aires","10","3","70","56.56","Buenos Aires","3","0","100","80.800000000000011","Buenos Aires","6","0","100","80.800000000000011","Buenos Aires","5","0","100","80.800000000000011"
"10","Cairo","49.545336731730096","Cairo","3","41","2.3809523809523796","1.9238095238095227","Cairo","0","0.14630000000000001","0","0.91","7.7206647087312064","7.636211647506717","68.863297277109382","55.641544199904374","Cairo","6","7","30","24.240000000000002","Cairo","3","0","100","80.800000000000011","Cairo","2","4","66.666666666666657","53.86666666666666","Cairo","5","0","100","80.800000000000011"
"11","Caracas","24.111746031746026","Caracas","3","41","2.3809523809523796","1.9238095238095227","Caracas","79","0.1651","13.042899999999999","0.53","24.609245283018865","24.524792221794375","-1.4210854715202004E-14","-1.148237060988322E-14","Caracas","4","9","10","8.08","Caracas","2","1","50","40.400000000000006","Caracas","2","4","66.666666666666657","53.86666666666666","Caracas","3","2","50","40.400000000000006"
"12","Casablanca","23.40539965376993","Casablanca","4","40","4.7619047619047592","3.8476190476190455","Casablanca","149","0.1201","17.8949","1.47","12.173401360544219","12.088948299319728","50.707234581271273","40.971445541667194","Casablanca","4","9","10","8.08","Casablanca","1","2","0","0","Casablanca","4","2","83.333333333333329","67.333333333333329","Casablanca","2","3","25","20.200000000000003"
"13","Chicago","60.050700191339892","Chicago","10","34","19.047619047619051","15.390476190476194","Chicago","34","1","34","8.25","4.1212121212121211","4.0367590599876317","83.540088643848748","67.500391624229792","Chicago","9","4","60","48.480000000000004","Chicago","3","0","100","80.800000000000011","Chicago","4","2","83.333333333333329","67.333333333333329","Chicago","5","0","100","80.800000000000011"
