"","0.77700000000000002","X2","79","X4","X5","X6","X7","80","X9","X10","X11","X12"
"86","Rome","18.805549501867997","Buenos Aires","100","484","17.123287671232887","13.304794520547954","Hong Kong",NA,"80","-3.8961038961038952","13.576859504132234"
"87","Shanghai","18.444419364881696","Istanbul","100","484","17.123287671232887","13.304794520547954","Dallas","16","64","16.883116883116884","13.118181818181819"
"88","Rio De Janeiro","17.479389788293901","Dubai","94","490","16.095890410958916","12.506506849315079","Karachi","16","64","16.883116883116884","13.118181818181819"
"89","Seoul","16.281958281444584","Madrid","94","490","16.095890410958916","12.506506849315079","Casablanca","14","66","14.285714285714292","11.100000000000005"
"90","Osaka","15.862079701120798","Warsaw","89","495","15.239726027397268","11.841267123287677","Detroit","14","66","14.285714285714292","11.100000000000005"
"91","Lagos","15.073295454545455","Santiago","83","501","14.212328767123296","11.042979452054801","Johannesburg","14","66","14.285714285714292","11.100000000000005"
"92","Washington","14.219715130759655","Singapore","80","504","13.69863013698631","10.643835616438363","Madrid","14","66","14.285714285714292","11.100000000000005"
"93","Quito","13.382549813200498","Johannesburg","78","506","13.356164383561648","10.3777397260274","Singapore","14","66","14.285714285714292","11.100000000000005"
"94","Madrid","11.803253424657541","Montreal","72","512","12.328767123287676","9.5794520547945243","Shanghai","12","68","11.688311688311686","9.0818181818181802"
"95","Bogota","11.665021793275221","Lima","67","517","11.472602739726028","8.9142123287671247","Boston","11","69","10.389610389610397","8.0727272727272776"
"96","Singapore","10.871917808219184","Osaka","64","520","10.958904109589042","8.5150684931506859","Dubai","11","69","10.389610389610397","8.0727272727272776"
"97","Johannesburg","10.738869863013702","Dallas","55","529","9.4178082191780845","7.3176369863013715","Durban","11","69","10.389610389610397","8.0727272727272776"
"98","Dubai","10.289617061021179","Bogota","54","530","9.2465753424657606","7.1845890410958964","Tokyo","11","69","10.389610389610397","8.0727272727272776"
"99","Dallas","10.217909402241595","Casablanca","52","532","8.9041095890410986","6.9184931506849336","New Delhi","9","71","7.7922077922077904","6.0545454545454529"
"100","Casablanca","9.0092465753424698","Vancouver","45","539","7.7054794520548029","5.9871575342465819","Beirut","8","72","6.4935064935064872","5.0454545454545405"
"101","Istanbul","8.6705790784557966","Nairobi","42","542","7.191780821917817","5.5880136986301441","Caracas","8","72","6.4935064935064872","5.0454545454545405"
"102","Hong Kong","7.6532413959017358","Amsterdam","38","546","6.506849315068493","5.0558219178082195","Dar Es Salaam",NA,"80","-3.8961038961038952","4.6418181818181834"
"103","Detroit","7.3461472602739795","Miami","37","547","6.3356164383561691","4.9227739726027435","Bangkok","7","73","5.1948051948051983","4.0363636363636388"
"104","Karachi","6.5590909090909095","Boston","36","548","6.1643835616438452","4.7897260273972675","Istanbul","7","73","5.1948051948051983","4.0363636363636388"
"105","Boston","6.431226650062273","Caracas","32","552","5.4794520547945211","4.257534246575343","Miami","7","73","5.1948051948051983","4.0363636363636388"
"106","Durban","5.499891033623916","Detroit","27","557","4.6232876712328874","3.5922945205479535","Tel Aviv","7","73","5.1948051948051983","4.0363636363636388"
"107","Caracas","4.6514943960149413","Dar Es Salaam","24","560","4.1095890410959015","3.1931506849315157","Cairo","6","74","3.8961038961038952","3.0272727272727264"
"108","Miami","4.4795688044831916","Accra","22","562","3.7671232876712395","2.9270547945205534","Mumbai","6","74","3.8961038961038952","3.0272727272727264"
"109","Dar Es Salaam","3.9174844333748498","Durban","22","562","3.7671232876712395","2.9270547945205534","Rio De Janeiro","6","74","3.8961038961038952","3.0272727272727264"
"110","New Delhi","3.692512453300127","Cairo","19","565","3.2534246575342536","2.5279109589041151","Seoul","6","74","3.8961038961038952","3.0272727272727264"
"111","Nairobi","3.2985523038605282","Bangkok","18","566","3.0821917808219297","2.3948630136986395","Washington","6","74","3.8961038961038952","3.0272727272727264"
"112","Bangkok","3.2156133250311392","Hong Kong","13","571","2.2260273972602818","1.729623287671239","Accra","5","75","2.5974025974025921","2.0181818181818141"
"113","Vancouver","2.993578767123291","Mumbai","10","574","1.7123287671232958","1.3304794520548009","Quito","5","75","2.5974025974025921","2.0181818181818141"
"114","Cairo","2.7775918430884206","New Delhi","10","574","1.7123287671232958","1.3304794520548009","Lagos","4","76","1.2987012987013031","1.0090909090909126"
"115","Accra","2.4726183063511837","Jakarta",NA,"584","0","0","Nairobi","4","76","1.2987012987013031","1.0090909090909126"
"116","Mumbai","2.1788760896637638","Karachi","0","584","0","0","Manila","3","77","0","0"
"117","Manila","0","Manila",NA,"584","0","0","Tehran","3","77","0","0"
"118","Tehran","0","Tehran",NA,"584","0","0","Vancouver","3","77","0","0"
