"","0.81799999999999995","X2","61","X4","X5","X6","X7","62","X9","X10","X11","X12","63","X14","X15","X16","X17","64","X19","X20","X21","X22","65","X24","X25","X26","X27","66","X29","X30","X31","X32"
"1","Financial Services Attribute Totals
(sorted by winner below)",NA,"Business banking availability","raw data","difference","raw score","weighted score","Personal Banking availability","raw data","difference","raw score","weighted score","Number of ""Chartered"" banks in your city","raw data","difference","raw score","weighted score","Online banking","raw data","difference","raw score","weighted score","Mobile banking","raw data","difference","raw score","weighted score","Financial literacy","raw data","difference","raw score","weighted score"
"91","Dar Es Salaam","15.898468658158649","Madrid","18","10","23.07692307692308","18.876923076923077","Buenos Aires","18","17","0","0","Paris","31","510","5.5555555555555571","4.5444444444444452","Hong Kong","22","376","5.2896725440806023","4.3269521410579328","Tehran","18","149","10.240963855421683","8.3771084337349357","Karachi","2","1","66.666666666666657","54.533333333333324"
"92","Caracas","15.882541207885717","Manila","18","10","23.07692307692308","18.876923076923077","Cairo","18","17","0","0","Beirut","30","511","5.3703703703703809","4.3929629629629714","San Francisco","22","376","5.2896725440806023","4.3269521410579328","Boston","16","151","9.036144578313241","7.3915662650602307","Lima","2","1","66.666666666666657","54.533333333333324"
"93","Warsaw","15.486483713060599","Mexico City","18","10","23.07692307692308","18.876923076923077","Chicago","18","17","0","0","Quito","29","512","5.1851851851851904","4.2414814814814852","Mexico City","21","377","5.0377833753148593","4.1209068010075542","Bogota","13","154","7.2289156626505928","5.9132530120481848","London","2","1","66.666666666666657","54.533333333333324"
"94","Montreal","15.242240467857963","Miami","18","10","23.07692307692308","18.876923076923077","Dallas","18","17","0","0","Tehran","29","512","5.1851851851851904","4.2414814814814852","Bogota","20","378","4.7858942065491163","3.914861460957177","Shanghai","na","na","na","5.5847389558232861","Los Angeles","2","1","66.666666666666657","54.533333333333324"
"95","Santiago","15.225591788238441","Moscow","18","10","23.07692307692308","18.876923076923077","Dar Es Salaam","18","17","0","0","Warsaw","28","513","5","4.09","Cairo","20","378","4.7858942065491163","3.914861460957177","Rio De Janeiro","na","na","na","5.1740963855421622","Madrid","2","1","66.666666666666657","54.533333333333324"
"96","Hong Kong","15.154203805108986","Mumbai","18","10","23.07692307692308","18.876923076923077","Detroit","18","17","0","0","Santiago","25","516","4.4444444444444429","3.6355555555555541","Lagos","19","379","4.5340050377833734","3.7088161209067994","Johannesburg","11","156","6.0240963855421654","4.9277108433734913","Manila","2","1","66.666666666666657","54.533333333333324"
"97","Mexico City","15.012487487464119","Nairobi","18","10","23.07692307692308","18.876923076923077","Dubai","18","17","0","0","Bogota","23","518","4.0740740740740762","3.3325925925925941","Quito","18","380","4.2821158690176304","3.5027707808564217","Manila","10","157","5.4216867469879446","4.4349397590361388","Mexico City","2","1","66.666666666666657","54.533333333333324"
"98","Sao Paulo","14.689262209539391","New Delhi","18","10","23.07692307692308","18.876923076923077","Durban","18","17","0","0","Hong Kong","23","518","4.0740740740740762","3.3325925925925941","Rio De Janeiro","na","na","na","3.4255037783375304","Nairobi","10","157","5.4216867469879446","4.4349397590361388","Osaka","2","1","66.666666666666657","54.533333333333324"
"99","Lima","14.506856574971906","New York City","18","10","23.07692307692308","18.876923076923077","Hong Kong","18","17","0","0","Toronto","23","518","4.0740740740740762","3.3325925925925941","Johannesburg","17","381","4.0302267002518875","3.2967254408060436","Beirut","9","158","4.8192771084337238","3.9421686746987858","Santiago","2","1","66.666666666666657","54.533333333333324"
"100","Buenos Aires","14.472013060602833","Quito","18","10","23.07692307692308","18.876923076923077","Istanbul","18","17","0","0","Lagos","22","519","3.8888888888888999","3.1811111111111199","Boston","16","382","3.7783375314861445","3.0906801007556659","Tel Aviv","9","158","4.8192771084337238","3.9421686746987858","Sao Paulo","2","1","66.666666666666657","54.533333333333324"
"101","Bogota","14.428493912642393","Rio De Janeiro","18","10","23.07692307692308","18.876923076923077","Johannesburg","18","17","0","0","Mexico City","22","519","3.8888888888888999","3.1811111111111199","Lima","14","384","3.2745591939546586","2.6785894206549106","Montreal","8","159","4.216867469879503","3.4493975903614333","Seoul","2","1","66.666666666666657","54.533333333333324"
"102","Boston","14.411281326876248","Rome","18","10","23.07692307692308","18.876923076923077","Lagos","18","17","0","0","San Francisco","22","519","3.8888888888888999","3.1811111111111199","Nairobi","13","385","3.0226700251889156","2.4725440806045329","Seoul","8","159","4.216867469879503","3.4493975903614333","Shanghai","2","1","66.666666666666657","54.533333333333324"
"103","Beirut","14.379730921504411","San Francisco","18","10","23.07692307692308","18.876923076923077","Lima","18","17","0","0","Boston","18","523","3.1481481481481524","2.5751851851851884","Amsterdam","12","386","2.7707808564231726","2.2664987405541552","Buenos Aires","7","160","3.6144578313252964","2.9566265060240924","Tel Aviv","2","1","66.666666666666657","54.533333333333324"
"104","Johannesburg","14.009732733023272","Santiago","18","10","23.07692307692308","18.876923076923077","Los Angeles","18","17","0","0","Lima","18","523","3.1481481481481524","2.5751851851851884","Jakarta","11","387","2.5188916876574297","2.0604534005037771","Karachi","7","160","3.6144578313252964","2.9566265060240924","Tokyo","2","1","66.666666666666657","54.533333333333324"
"105","Manila","13.510489593846545","Sao Paulo","18","10","23.07692307692308","18.876923076923077","Madrid","18","17","0","0","Johannesburg","17","524","2.9629629629629619","2.4237037037037026","Tokyo","11","387","2.5188916876574297","2.0604534005037771","Osaka","7","160","3.6144578313252964","2.9566265060240924","Toronto","2","1","66.666666666666657","54.533333333333324"
