"","0.77400000000000002","X2","81","X4","X5","X6","X7","100","X9","X10","X11","X12"
"1","Arts Attribute Totals
(sorted by winner below)",NA,"Grafitti and street art","raw data","difference","raw score","weighted score","Number of design schools","raw data","difference","raw score","weighted score"
"63",NA,"USA/Can",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,"Middle East ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Paris","67.1484375","Amsterdam","1","0","100","77.400000000000006","London","65","0","100","71.399999999999991"
"66","Johannesburg","60.454687500000006","Bangkok","1","0","100","77.400000000000006","Paris","52","13","79.6875","56.896874999999994"
"67","Sao Paulo","54.876562500000006","Berlin","1","0","100","77.400000000000006","Johannesburg","40","25","60.9375","43.509374999999999"
"68","Mexico City","54.318750000000001","Bogota","1","0","100","77.400000000000006","Lima","30","35","45.3125","32.353124999999999"
"69","Berlin","52.645312500000003","Boston","1","0","100","77.400000000000006","Sao Paulo","30","35","45.3125","32.353124999999999"
"70","Los Angeles","52.087500000000006","Cairo","1","0","100","77.400000000000006","Lagos","29","36","43.75","31.237499999999997"
"71","New York City","50.971875000000004","Caracas","1","0","100","77.400000000000006","Mexico City","29","36","43.75","31.237499999999997"
"72","New Delhi","50.4140625","Casablanca","1","0","100","77.400000000000006","Berlin","26","39","39.0625","27.890625"
"73","Santiago","50.4140625","Chicago","1","0","100","77.400000000000006","Los Angeles","25","40","37.5","26.774999999999999"
"74","Madrid","47.625","Dallas","1","0","100","77.400000000000006","New York City","23","42","34.375","24.543749999999999"
"75","Mumbai","47.625","Dar Es Salaam","1","0","100","77.400000000000006","New Delhi","22","43","32.8125","23.428124999999998"
"76","Moscow","47.067187500000003","Detroit","1","0","100","77.400000000000006","Santiago","22","43","32.8125","23.428124999999998"
"77","San Francisco","47.067187500000003","Hong Kong","1","0","100","77.400000000000006","Madrid","17","48","25","17.849999999999998"
"78","Caracas","46.509375000000006","Istanbul","1","0","100","77.400000000000006","Mumbai","17","48","25","17.849999999999998"
"79","Toronto","45.951562500000001","Johannesburg","1","0","100","77.400000000000006","Moscow","16","49","23.4375","16.734375"
"80","Rio De Janeiro","45.393750000000004","Karachi","1","0","100","77.400000000000006","San Francisco","16","49","23.4375","16.734375"
"81","Seoul","45.393750000000004","Los Angeles","1","0","100","77.400000000000006","Caracas","15","50","21.875","15.618749999999999"
"82","Sydney","45.393750000000004","Madrid","1","0","100","77.400000000000006","Shanghai","15","50","21.875","15.618749999999999"
"83","Hong Kong","44.8359375","Mexico City","1","0","100","77.400000000000006","Durban","14","51","20.3125","14.503124999999999"
"84","Istanbul","43.720312500000006","Montreal","1","0","100","77.400000000000006","Toronto","14","51","20.3125","14.503124999999999"
"85","Karachi","43.720312500000006","Moscow","1","0","100","77.400000000000006","Rio De Janeiro","13","52","18.75","13.387499999999999"
"86","Tokyo","43.720312500000006","Mumbai","1","0","100","77.400000000000006","Seoul","13","52","18.75","13.387499999999999"
"87","Bogota","43.162500000000001","Nairobi","1","0","100","77.400000000000006","Sydney","13","52","18.75","13.387499999999999"
"88","Osaka","43.162500000000001","New Delhi","1","0","100","77.400000000000006","Buenos Aires","12","53","17.1875","12.271875"
"89","Tehran","43.162500000000001","New York City","1","0","100","77.400000000000006","Hong Kong","12","53","17.1875","12.271875"
"90","Warsaw","43.162500000000001","Osaka","1","0","100","77.400000000000006","Istanbul","10","55","14.0625","10.040625"
"91","Casablanca","42.604687500000004","Paris","1","0","100","77.400000000000006","Karachi","10","55","14.0625","10.040625"
"92","Chicago","42.604687500000004","Quito","1","0","100","77.400000000000006","Manila","10","55","14.0625","10.040625"
"93","Quito","42.604687500000004","Rio De Janeiro","1","0","100","77.400000000000006","Tokyo","10","55","14.0625","10.040625"
"94","Nairobi","42.046875","Rome","1","0","100","77.400000000000006","Bogota","9","56","12.5","8.9249999999999989"
"95","Rome","42.046875","San Francisco","1","0","100","77.400000000000006","Osaka","9","56","12.5","8.9249999999999989"
"96","Amsterdam","41.489062500000003","Santiago","1","0","100","77.400000000000006","Singapore","9","56","12.5","8.9249999999999989"
"97","Dar Es Salaam","41.489062500000003","Sao Paulo","1","0","100","77.400000000000006","Tehran","9","56","12.5","8.9249999999999989"
"98","Tel Aviv","41.489062500000003","Seoul","1","0","100","77.400000000000006","Warsaw","9","56","12.5","8.9249999999999989"
"99","Bangkok","40.931250000000006","Sydney","1","0","100","77.400000000000006","Casablanca","8","57","10.9375","7.8093749999999993"
"100","Boston","40.931250000000006","Tehran","1","0","100","77.400000000000006","Chicago","8","57","10.9375","7.8093749999999993"
"101","Vancouver","40.931250000000006","Tel Aviv","1","0","100","77.400000000000006","Quito","8","57","10.9375","7.8093749999999993"
"102","Detroit","40.373437500000001","Tokyo","1","0","100","77.400000000000006","Nairobi","7","58","9.375","6.6937499999999996"
"103","Montreal","40.373437500000001","Toronto","1","0","100","77.400000000000006","Rome","7","58","9.375","6.6937499999999996"
"104","Washington","39.815625000000004","Vancouver","1","0","100","77.400000000000006","Amsterdam","6","59","7.8125","5.578125"
"105","Dallas","39.2578125","Warsaw","1","0","100","77.400000000000006","Dar Es Salaam","6","59","7.8125","5.578125"
"106","Cairo","38.700000000000003","Washington","1","0","100","77.400000000000006","Tel Aviv","6","59","7.8125","5.578125"
"107","London","35.699999999999996","Accra","0","1","0","0","Bangkok","5","60","6.25","4.4624999999999995"
