"","0.85199999999999998","X2","38","X4","X5","X6","X7","39","X9","X10","X11","X12","40","X14","X15","X16","X17","41","X19","X20","X21","X22","X23","X24"
"1","Employment Attribute Totals
(sorted by winner below)",NA,"Youth unemployment rate","raw data","difference","raw score","weighted score","Employment initiatives and programs scale","raw data","difference","raw score","weighted score","Youth Employment Centres","raw data","difference","raw score","weighted score","Number of new jobs created in 2013","raw data","population","per 1000","difference","raw score","weighted score"
"26","London","38.183673646567271","London","23.9","22.4","57.333333333333336","48.847999999999999","London","2","0","100","85.2","London","0","40","0","0","London","83000","8173941","10.154220589554049","61.467401032067578","21.932740124728966","18.686694586269077"
"27","Los Angeles","45.632767222230108","Los Angeles","20.2","18.7","64.38095238095238","54.852571428571423","Los Angeles","2","0","100","85.2","Los Angeles","1","39","2.5","2.13","Los Angeles","117200","3884307","30.172692323238095","41.448929298383533","47.35739138538618","40.348497460349023"
"28","Madrid","35.165971937727583","Madrid","51.8","50.3","4.190476190476204","3.5702857142857258","Madrid","2","0","100","85.2","Madrid","9","31","22.5","19.169999999999998","Madrid","73200","3165235","23.126244970752566","48.495376650869062","38.407983611061745","32.723602036624605"
"29","Manila","34.56825754102492","Manila","13","11.5","78.095238095238102","66.537142857142868","Manila","1","1","50","42.6","Manila","0","40","0","8.52","Manila","0","11855975","11.937058803548133","59.684562818073495","24.197050829761523","20.615887306956818"
"30","Mexico City","63.464375712121452","Mexico City","12.6","11.1","78.857142857142861","67.186285714285717","Mexico City","2","0","100","85.2","Mexico City","35","5","87.5","74.55","Mexico City","157231","8851080","17.764046873375904","53.857574748245725","31.597672692723137","26.921217134200113"
"31","Miami","36.545053962303889","Miami","16.399999999999999","14.899999999999999","71.61904761904762","61.01942857142857","Miami","1","1","50","42.6","Miami","2","38","5","4.26","Miami","70600","2496435","28.280327747367746","43.341293874253878","44.953975678153732","38.300787277786981"
"32","Montreal","55.305813345744532","Montreal","9.6999999999999993","8.1999999999999993","84.38095238095238","71.892571428571429","Montreal","2","0","100","85.2","Montreal","23","17","57.5","48.99","Montreal","26300","3824220","6.877219406833289","64.744402214788337","17.770753467613474","15.140681954406679"
"33","Moscow","29.468223204762566","Moscow","14.1","12.6","76","64.751999999999995","Moscow","1","1","50","42.6","Moscow","0","40","0","0","Moscow","30000","11503501","2.6079017161818823","69.013719905439743","12.348465750058992","10.52089281905026"
"34","Mumbai","46.214678148730457","Mumbai","5.8","4.3","91.80952380952381","78.221714285714285","Mumbai","2","0","100","85.2","Mumbai","4","36","10","8.52","Mumbai","60000","12442373","4.8222312576547894","66.799390363966836","15.160796137567502","12.916998309207511"
"35","Nairobi","27.854019321983099","Nairobi","30","28.5","45.714285714285715","38.948571428571427","Nairobi","1","1","50","42.6","Nairobi","2","38","5","4.26","Nairobi","51940","3138369","16.54999778547392","55.071623836147708","30.055758050893161","25.607505859360973"
"36","New Delhi","31.855043255310633","New Delhi","15.75","14.25","72.857142857142861","62.074285714285715","New Delhi","1","1","50","42.6","New Delhi","1","39","2.5","2.13","New Delhi","130000","16787941","11.937058803548133","59.684562818073495","24.197050829761523","20.615887306956818"
"37","New York City","55.891131764211345","New York City","18","16.5","68.571428571428569","58.42285714285714","New York City","2","0","100","85.2","New York City","15","25","37.5","31.95","New York City","313000","8405837","37.236030153808592","34.385591467813036","56.328251072756181","47.991669913988268"
"38","Osaka","47.514909597246458","Osaka","6.2","4.7","91.047619047619051","77.572571428571436","Osaka","2","0","100","85.2","Osaka","9","31","22.5","19.169999999999998","Osaka","1037","2683487","0.3864374971818384","71.235184124439783","9.5270738971999975","8.1170669604143981"
"39","Paris","43.050346284119804","Paris","7.4","5.9","88.761904761904759","75.625142857142848","Paris","2","0","100","85.2","Paris","2","38","5","4.26","Paris","-3500","6500000","-0.53846153846153844","72.160083160083161","8.3523970414746316","7.1162422793363858"
"40","Quito","32.135226630867628","Quito","7.1","5.6","89.333333333333329","76.111999999999995","Quito","1","1","50","42.6","Quito","1","39","2.5","2.13","Quito","0","2670000","0","71.621621621621628","9.036275262289351","7.6989065234705265"
"41","Rio De Janeiro","47.573585395389962","Rio De Janeiro","13.5","12","77.142857142857139","65.725714285714275","Rio De Janeiro","2","0","100","85.2","Rio De Janeiro","0","40","0","27.994285714285716","Rio De Janeiro","21920.61","6453682","3.3966052247383742","68.225016396883248","13.350166175539741","11.374341581559859"
"42","Rome","41.31958377372478","Rome","30.4","28.9","44.952380952380956","38.299428571428571","Rome","2","0","100","85.2","Rome","16","24","40","34.08","Rome","0","2889305","0","71.621621621621628","9.036275262289351","7.6989065234705265"
"43","San Francisco","65.901051698346009","San Francisco","20.2","18.7","64.38095238095238","54.852571428571423","San Francisco","2","0","100","85.2","San Francisco","33","7","82.5","70.289999999999992","San Francisco","53000","1258722","42.106199780412197","29.515421841209431","62.513656531470211","53.261635364812619"
"44","Santiago","63.447993720782591","Santiago","15.13","13.63","74.038095238095238","63.080457142857142","Santiago","2","0","100","85.2","Santiago","40","0","100","85.2","Santiago","75000","6434576","11.655779650438507","59.965841971183124","23.839809554311316","20.311517740273242"
"45","Sao Paulo","41.359262986733924","Sao Paulo","16.600000000000001","15.100000000000001","71.238095238095241","60.694857142857146","Sao Paulo","2","0","100","85.2","Sao Paulo","4","36","10","8.52","Sao Paulo","36534.35","11895893","3.071173387319472","68.550448234302152","12.936848361594528","11.022194804078538"
"46","Seoul","44.282356703036768","Seoul","10","8.5","83.80952380952381","71.405714285714282","Seoul","0","2","0","85.2","Seoul","1","39","2.5","2.13","Seoul","100000","10117909","9.8834650519193232","61.738156569702305","21.588864467644129","18.393712526432797"
"47","Shanghai","37.173364191818351","Shanghai","17","15.5","70.476190476190482","60.04571428571429","Shanghai","1","1","50","42.6","Shanghai","4","36","10","8.52","Shanghai","600000","21766000","27.565928512358724","44.055693109262904","44.046646105116331","37.527742481559116"
"48","Singapore","33.387261884762275","Singapore","6.7","5.2","90.095238095238102","76.761142857142858","Singapore","1","1","50","42.6","Singapore","1","39","2.5","2.13","Singapore","21400","5312400","4.0283111211505158","67.593310500471119","14.152470283927514","12.057904681906241"
"49","Sydney","42.766216393901665","Sydney","10.6","9.1","82.666666666666671","70.432000000000002","Sydney","2","0","100","85.2","Sydney","0","40","0","0","Sydney","34000","4757083","7.1472370778479162","64.474384543773709","18.113691990148652","15.432865575606652"
"50","Tehran","59.414080015014918","Tehran","9.9","8.4","84","71.567999999999998","Tehran","2","0","100","85.2","Tehran","30","10","75","63.9","Tehran","70000","8154051","8.584689990288263","63.036931631333367","19.939342793497261","16.988320060059667"
"51","Tel Aviv","44.637090992759084","Tel Aviv","5","3.5","93.333333333333329","79.52","Tel Aviv","2","0","100","85.2","Tel Aviv","2","38","5","4.26","Tel Aviv","2300","1331300","1.7276346428303162","69.893986978791318","11.230474144408873","9.5683639710363604"
